Date,^GDAXI
2014-01-03,0.3728169604745994
2014-01-06,-0.07581332724821584
2014-01-07,0.8260252785982982
2014-01-08,-0.08798499776524114
2014-01-09,-0.8058363632248698
2014-01-10,0.5464982226339175
2014-01-13,0.38907376264148835
2014-01-14,0.31851744817863903
2014-01-15,2.005842928142499
2014-01-16,-0.16553578783902922
2014-01-17,0.25949789262800105
2014-01-20,-0.27812099235054216
2014-01-21,0.14624821660842668
2014-01-22,-0.1029269707089081
2014-01-23,-0.9205751568199287
2014-01-24,-2.5130877235140696
2014-01-27,-0.4567454532208973
2014-01-28,0.6151654096946622
2014-01-29,-0.7488408133184947
2014-01-30,0.39283413086935043
2014-01-31,-0.7173493299767537
2014-02-03,-1.2973840929307947
2014-02-04,-0.640037130027719
2014-02-05,-0.12705216949439163
2014-02-06,1.5268410263255348
2014-02-07,0.48861636399311875
2014-02-10,-0.12973014769409524
2014-02-11,2.0130990972851324
2014-02-12,0.6438973899176714
2014-02-13,0.5933049220897334
2014-02-14,0.6815570317732863
2014-02-17,-0.05839410320802615
2014-02-18,0.03127379780241056
2014-02-19,0.0027902031118017135
2014-02-20,-0.4274129673967999
2014-02-21,0.3953209303144153
2014-02-24,0.5369271187594843
2014-02-25,-0.09883221112085634
2014-02-26,-0.3886062948478435
2014-02-27,-0.762602758266604
2014-02-28,1.0762323060906445
2014-03-03,-3.498240906217182
2014-03-04,2.4305635560482743
2014-03-05,-0.49271377459770577
2014-03-06,0.00891371083335638
2014-03-07,-2.033773708450322
2014-03-10,-0.9158729165449371
2014-03-11,0.4553863322718763
2014-03-12,-1.287826142100112
2014-03-13,-1.8774129423990666
2014-03-14,0.4273514240907263
2014-03-17,1.365129999071235
2014-03-18,0.6693688942582495
2014-03-19,0.3725786802842246
2014-03-20,0.20535341335749688
2014-03-21,0.5023902450379271
2014-03-24,-1.6638988595602255
2014-03-25,1.615293792123696
2014-03-26,1.172950074668998
2014-03-27,0.02782975709295031
2014-03-28,1.4285105717713025
2014-03-31,-0.3268049617866343
2014-04-01,0.49896504801447805
2014-04-02,0.20440344938002947
2014-04-03,0.05672044304128321
2014-04-04,0.6928942569559569
2014-04-07,-1.9256448485582816
2014-04-08,-0.21113522975327986
2014-04-09,0.16380964797621694
2014-04-10,-0.5464901722944706
2014-04-11,-1.4837913207196933
2014-04-14,0.2560234486175722
2014-04-15,-1.7875594487879147
2014-04-16,1.558694895333988
2014-04-17,0.9813401396860087
2014-04-22,2.003032646128499
2014-04-23,-0.5839819740181085
2014-04-24,0.04702549032885715
2014-04-25,-1.5528343792042612
2014-04-28,0.4754970809292032
2014-04-29,1.4478055055765577
2014-04-30,0.19919746393336915
2014-05-02,-0.492827569497873
2014-05-05,-0.27790229418731915
2014-05-06,-0.6524171987012989
2014-05-07,0.5663295183623571
2014-05-08,0.9002301937285265
2014-05-09,-0.2704717618823672
2014-05-12,1.2550499669950959
2014-05-13,0.5342051180021767
2014-05-14,-0.0004104714058827276
2014-05-15,-1.0132762361089733
2014-05-16,-0.2794918750949287
2014-05-19,0.3140739905201595
2014-05-20,-0.21047863481501428
2014-05-21,0.6080609362857823
2014-05-22,0.2372965711496227
2014-05-23,0.4833485001850035
2014-05-26,1.2696536516253734
2014-05-27,0.48402705907999594
2014-05-28,-0.016603535608763192
2014-05-29,-0.002711845222195188
2014-05-30,0.04395034055636258
2014-06-02,0.06887299077092887
2014-06-03,-0.3057888273766584
2014-06-04,0.06983316103070503
2014-06-05,0.21293782732099048
2014-06-06,0.3948870049513328
2014-06-09,0.2144394278962643
2014-06-10,0.20132251493413328
2014-06-11,-0.7907521939053681
2014-06-12,-0.1117165266412284
2014-06-13,-0.2602322364965123
