,ret,VaR_GJR_1%,VaR_GJR_5%,VaR_GARCH_1%,VaR_GARCH_5%
2024-01-16,-0.3045201322342683,-1.9806056202670175,-1.4003951749477181,-1.931849010325995,-1.3659216176632494
2024-01-17,-0.8483441393796812,-1.936579898769226,-1.3692666113769516,-1.8731081239744116,-1.3243886375600122
2024-01-18,0.8222113392252062,-2.099444505815466,-1.4844206872532801,-1.9419993513089326,-1.3730984571062594
2024-01-19,-0.0737791999955264,-2.0209460373130197,-1.4289180291739845,-1.9891886438571826,-1.4064638363203488
2024-01-22,0.7715702540190797,-1.9422831548643966,-1.3732991215523451,-1.9040139614047484,-1.3462407342986489
2024-01-23,-0.3378494502023984,-1.88656104915574,-1.3339005824520624,-1.9421724210009443,-1.373220826728532
2024-01-24,1.568370612352123,-1.864750284340718,-1.3184791934100792,-1.8845982048024874,-1.3325127454524393
2024-01-25,0.1006011302378808,-1.863494240449658,-1.3175911025218356,-2.2446112833401175,-1.5870614415397513
2024-01-26,0.3216620446146262,-1.8070881488401656,-1.2777089484376,-2.1268701191126693,-1.5038120775120878
2024-01-29,-0.1160937424798049,-1.761224722083594,-1.2452810279675914,-2.0415054360108624,-1.443454634766573
2024-01-30,0.1806266952600262,-1.7248030359290325,-1.219528928189428,-1.9520607321712438,-1.380212396937952
2024-01-31,-0.4048882404080683,-1.69084121527667,-1.1955160862145593,-1.8793480213336793,-1.3288005821009499
2024-02-01,-0.264911268204156,-1.7213599723101365,-1.2170944962007466,-1.8419933442577439,-1.302388807336917
2024-02-02,0.3503656190535221,-1.710872494716746,-1.209679282960477,-1.790949964576457,-1.2662983803042693
2024-02-05,-0.0836749918298895,-1.6788962732617487,-1.1870703668893405,-1.7584296407017181,-1.2433047544274622
2024-02-06,0.7612880719440723,-1.651008336292985,-1.16735208881789,-1.706458262294322,-1.206558182160699
2024-02-07,-0.6554500720230801,-1.6402402258016384,-1.1597384529576864,-1.7807674684987165,-1.2590988054720675
2024-02-08,0.2471192831997178,-1.7774883252418616,-1.2567802740350809,-1.8103471609089143,-1.2800132460370166
2024-02-09,-0.2202993782380713,-1.7338740241437662,-1.2259426069137203,-1.7619928055916905,-1.2458241045032172
2024-02-12,0.6527528784014754,-1.7118121510644784,-1.2103436707628785,-1.7166108033368817,-1.213736577164719
2024-02-13,-0.9229306744622006,-1.6859940971467056,-1.1920889118330746,-1.7573884993696227,-1.2425686112584307
2024-02-14,0.3822496057037969,-1.9564391044583256,-1.383308142684714,-1.8734368856790669,-1.324621089846422
2024-02-15,0.5954858644379811,-1.8861367941622178,-1.3336006112514376,-1.8311131215171483,-1.2946959020596753
2024-02-16,0.4141776969236116,-1.8308764592042948,-1.2945285690189021,-1.8358257978656654,-1.2980280188385138
2024-02-19,-0.1472079125049205,-1.7797022411311638,-1.2583456321747295,-1.8035260683473457,-1.275190365089216
2024-02-20,-0.1395175704703923,-1.740399294596065,-1.230556325648597,-1.7461981501812598,-1.2346564298281615
2024-02-21,0.290696135291251,-1.708319958987746,-1.2078745023003619,-1.697367160979118,-1.200130282387772
