model,alpha,violations,T,pi_hat,Kupiec_p,Ind_p,CC_p
GJR-GARCH,0.01,9,614,0.014657980456026058,0.2780340271610843,0.11463952519736409,0.15995355981815784
GJR-GARCH,0.05,24,614,0.03908794788273615,0.19778675892435704,0.316843928917508,0.26440159884197545
GARCH,0.01,7,614,0.011400651465798045,0.732957923049705,0.06246658712251563,0.16637120945153072
GARCH,0.05,24,614,0.03908794788273615,0.19778675892435704,0.0722280921574554,0.08671367451353695
