Date,ret,rv_abs,sigma_garch,sigma_gjr,sigma2_garch,sigma2_gjr
2023-09-14,0.9616287303144746,0.9616287303144746,0.7095562348279977,0.7512083971905463,0.5034700503832845,0.5643140560095896
2023-09-15,0.5567428783243866,0.5567428783243866,0.7656140877557887,0.7428731577847318,0.5861649313701284,0.5518605285570591
2023-09-18,-1.0525507256928552,1.0525507256928552,0.7652630885877647,0.7295757031503978,0.585627594754885,0.5322807066273973
2023-09-19,-0.3990859364067893,0.3990859364067893,0.8228629344465443,0.8471172397499895,0.677103408885978,0.7176076178816413
2023-09-20,0.744830214040099,0.744830214040099,0.8036310878982769,0.8370054823915307,0.6458229254365679,0.7005781775534791
2023-09-21,-1.3378599108415867,1.3378599108415867,0.8153085271977363,0.8153656903466563,0.6647279945213419,0.6648212089944794
2023-09-22,-0.0936120220512701,0.0936120220512701,0.9068444415230604,0.9788432025735472,0.8223668411212713,0.9581340152244384
2023-09-25,-0.9805386957205736,0.9805386957205736,0.8675688999600393,0.9382241195895773,0.7526757961778727,0.8802644985796375
2023-09-26,-0.9759599905361404,0.9759599905361404,0.8958938060756363,0.9951400159365588,0.8026257117646898,0.9903036513182145
2023-09-27,-0.25215461812357,0.25215461812357,0.9201044290479746,1.0413988719083822,0.8465921603536994,1.0845116104120511
2023-09-28,0.6944789225067006,0.6944789225067006,0.882579574298972,0.9996644860619452,0.7789467049697547,0.999329084693493
2023-09-29,0.4108108261458599,0.4108108261458599,0.8773053277344854,0.9601547300161544,0.7696646380713129,0.9218971055723943
2023-10-02,-0.9099173076763926,0.9099173076763926,0.8520357446907566,0.9225304458457861,0.7259649102307322,0.851062423512425
2023-10-03,-1.068174189590285,1.068174189590285,0.8742497120029926,0.9689628543625705,0.7643125589373155,0.9388890131344598
2023-10-04,0.0974649581371627,0.0974649581371627,0.9129338550659013,1.0358255824877207,0.8334482237254881,1.072934637336026
2023-10-05,-0.1968847691965825,0.1968847691965825,0.8728327087143812,0.9894600837158681,0.7618369374016838,0.9790312572670127
2023-10-06,1.0531441313921008,1.0531441313921008,0.8399294061273939,0.9539664803357409,0.7054814072775165,0.9100520456041615
2023-10-09,-0.6697408387907724,0.6697408387907724,0.8831351619338668,0.9237132368855778,0.7799277142439571,0.8532461439976317
2023-10-10,1.9338960806318537,1.9338960806318537,0.8756176419658491,0.9338478380327709,0.7667062549218339,0.8720717845984803
2023-10-11,0.2363088169419606,0.2363088169419606,1.0666638089746805,0.9260246887547247,1.1377716813763736,0.8575217241832847
2023-10-12,-0.2265142418434755,0.2265142418434755,1.0122259679643135,0.8902669779480211,1.0246014102212915,0.7925752920247022
2023-10-13,-1.5574111193234097,1.5574111193234097,0.9638379336905916,0.8636425099110343,0.9289835624209493,0.745878384925431
2023-10-16,0.337424595961899,0.337424595961899,1.0596169443133898,1.0730267205406818,1.1227880686760456,1.1513863429942903
2023-10-17,0.0898677581145981,0.0898677581145981,1.0097146641992647,1.022894994853482,1.019523703099034,1.046314170496305
2023-10-18,-1.0332733505565326,1.0332733505565326,0.9591476008065731,0.9770581250671065,0.9199641201330054,0.9546425797596496
2023-10-19,-0.3296582660916618,0.3296582660916618,0.9787943723112419,1.0365963246748562,0.958038423268158,1.07453194032942
2023-10-20,-1.6537250021769485,1.6537250021769485,0.9377063496922,0.9996768135243881,0.8792931982530705,0.9993537314982742
2023-10-23,0.0152031190441692,0.0152031190441692,1.0551264312444024,1.1898807416429074,1.113291785910549,1.4158161793326753
2023-10-24,0.5338216254913195,0.5338216254913195,1.001663378119478,1.1305098293446856,1.0033295230657242,1.2780524742449502
2023-10-25,0.0822195964130725,0.0822195964130725,0.9681465772928212,1.0767964748309975,0.9373077951238045,1.1594906482084628
2023-10-26,-1.0878724208663224,1.0878724208663224,0.9217228044406501,1.0274023749469938,0.8495729282259369,1.0555556400467232
2023-10-27,-0.2966822906791264,0.2966822906791264,0.9540966189067379,1.0849318226413132,0.910300358209269,1.177077059779802
2023-10-30,0.1981359113235535,0.1981359113235535,0.9144715485272222,1.043044960625143,0.8362582130657757,1.087942789885506
2023-10-31,0.6353540949674668,0.6353540949674668,0.8764177155921199,0.9980831117872233,0.7681080122037099,0.9961698980348669
2023-11-01,0.759613332444547,0.759613332444547,0.8665582671673726,0.959411621896324,0.7509232303961195,0.920470660229735
2023-11-02,1.4656266410818382,1.4656266410818382,0.869235371068533,0.9252691830476183,0.7555701303166503,0.856123061097607
2023-11-03,0.3009966137605249,0.3009966137605249,0.9675510518165634,0.9052350962192015,0.9361550378713381,0.8194505794269871
2023-11-06,-0.351392858762129,0.351392858762129,0.9271060146743415,0.8724937584184619,0.8595255624453403,0.7612453584791733
2023-11-07,0.1100738786106285,0.1100738786106285,0.8930277307759912,0.8546759727461062,0.7974985279349162,0.7304710183895028
2023-11-08,0.5066125961720225,0.5066125961720225,0.8552369816005153,0.8252792988202732,0.7314302946971603,0.6810859210612817
2023-11-09,0.8040058240867269,0.8040058240867269,0.8381182564205784,0.8010111199997767,0.7024422117454703,0.6416188143632966
2023-11-10,-0.7725586025069316,0.7725586025069316,0.8499144485385373,0.782780471115418,0.7223545698345659,0.6127452659596758
2023-11-13,0.7234338895524853,0.7234338895524853,0.8567344727930742,0.8315206067187666,0.733993956872027,0.6914265193979456
2023-11-14,1.740577862138782,1.740577862138782,0.8577463946169938,0.8098179482636454,0.7357288774784515,0.6558051093299403
2023-11-15,0.8528696390834213,0.8528696390834213,1.0104088535689815,0.8108736441786356,1.0209260513705836,0.6575160668235406
2023-11-16,0.24379715599134,0.24379715599134,1.0020597277744219,0.7932153378961047,1.0041236980273487,0.6291905722736314
2023-11-17,0.8361290376463646,0.8361290376463646,0.9559232075102128,0.7710962072744469,0.9137891786566132,0.5945893608730368
2023-11-20,-0.1120666580541593,0.1120666580541593,0.9533681551342117,0.7574355795708687,0.9089108392240104,0.5737086571998578
2023-11-21,-0.0050299239027282,0.0050299239027282,0.9093553484214377,0.7403476552100486,0.8269271497026744,0.5481146505750171
2023-11-22,0.3596551595645857,0.3596551595645857,0.8692696412785489,0.7237655173847309,0.755629709248537,0.5238365241551873
