Date,realized_abs,garch_sigma,gjr_sigma
2023-09-14,0.9616287303144746,0.7095562348279977,0.7512083971905463
2023-09-15,0.5567428783243866,0.7656140877557887,0.7428731577847318
2023-09-18,1.0525507256928552,0.7652630885877647,0.7295757031503978
2023-09-19,0.3990859364067893,0.8228629344465443,0.8471172397499895
2023-09-20,0.744830214040099,0.8036310878982769,0.8370054823915307
2023-09-21,1.3378599108415867,0.8153085271977363,0.8153656903466563
2023-09-22,0.0936120220512701,0.9068444415230604,0.9788432025735472
2023-09-25,0.9805386957205736,0.8675688999600393,0.9382241195895773
2023-09-26,0.9759599905361404,0.8958938060756363,0.9951400159365588
2023-09-27,0.25215461812357,0.9201044290479746,1.0413988719083822
2023-09-28,0.6944789225067006,0.882579574298972,0.9996644860619452
2023-09-29,0.4108108261458599,0.8773053277344854,0.9601547300161544
2023-10-02,0.9099173076763926,0.8520357446907566,0.9225304458457861
2023-10-03,1.068174189590285,0.8742497120029926,0.9689628543625705
2023-10-04,0.0974649581371627,0.9129338550659013,1.0358255824877207
2023-10-05,0.1968847691965825,0.8728327087143812,0.9894600837158681
2023-10-06,1.0531441313921008,0.8399294061273939,0.9539664803357409
2023-10-09,0.6697408387907724,0.8831351619338668,0.9237132368855778
2023-10-10,1.9338960806318537,0.8756176419658491,0.9338478380327709
2023-10-11,0.2363088169419606,1.0666638089746805,0.9260246887547247
2023-10-12,0.2265142418434755,1.0122259679643135,0.8902669779480211
2023-10-13,1.5574111193234097,0.9638379336905916,0.8636425099110343
2023-10-16,0.337424595961899,1.0596169443133898,1.0730267205406818
2023-10-17,0.0898677581145981,1.0097146641992647,1.022894994853482
2023-10-18,1.0332733505565326,0.9591476008065731,0.9770581250671065
2023-10-19,0.3296582660916618,0.9787943723112419,1.0365963246748562
2023-10-20,1.6537250021769485,0.9377063496922,0.9996768135243881
2023-10-23,0.0152031190441692,1.0551264312444024,1.1898807416429074
2023-10-24,0.5338216254913195,1.001663378119478,1.1305098293446856
2023-10-25,0.0822195964130725,0.9681465772928212,1.0767964748309975
2023-10-26,1.0878724208663224,0.9217228044406501,1.0274023749469938
2023-10-27,0.2966822906791264,0.9540966189067379,1.0849318226413132
2023-10-30,0.1981359113235535,0.9144715485272222,1.043044960625143
2023-10-31,0.6353540949674668,0.8764177155921199,0.9980831117872233
2023-11-01,0.759613332444547,0.8665582671673726,0.959411621896324
2023-11-02,1.4656266410818382,0.869235371068533,0.9252691830476183
2023-11-03,0.3009966137605249,0.9675510518165634,0.9052350962192015
2023-11-06,0.351392858762129,0.9271060146743415,0.8724937584184619
2023-11-07,0.1100738786106285,0.8930277307759912,0.8546759727461062
2023-11-08,0.5066125961720225,0.8552369816005153,0.8252792988202732
2023-11-09,0.8040058240867269,0.8381182564205784,0.8010111199997767
2023-11-10,0.7725586025069316,0.8499144485385373,0.782780471115418
2023-11-13,0.7234338895524853,0.8567344727930742,0.8315206067187666
2023-11-14,1.740577862138782,0.8577463946169938,0.8098179482636454
2023-11-15,0.8528696390834213,1.0104088535689815,0.8108736441786356
2023-11-16,0.24379715599134,1.0020597277744219,0.7932153378961047
2023-11-17,0.8361290376463646,0.9559232075102128,0.7710962072744469
2023-11-20,0.1120666580541593,0.9533681551342117,0.7574355795708687
2023-11-21,0.0050299239027282,0.9093553484214377,0.7403476552100486
2023-11-22,0.3596551595645857,0.8692696412785489,0.7237655173847309
2023-11-23,0.2310311494073794,0.8423850681480924,0.7107401670415424
2023-11-24,0.2170843100155807,0.81294858349157,0.6973939533099143
2023-11-27,0.3945522850599633,0.7865574350371786,0.6857132944091215
2023-11-28,0.1645844843406254,0.7710548312194665,0.6955561603553713
2023-11-29,1.0807631821599466,0.7475374669829996,0.6834697412663149
2023-11-30,0.302511958645477,0.8119190406906814,0.6845353100480037
2023-12-01,1.1166836505028106,0.7884906365300554,0.6744262084895997
2023-12-04,0.0441447036472812,0.8497574735739847,0.6788598818934574
2023-12-05,0.7793476771123728,0.8160088815839015,0.6687166742906284
2023-12-06,0.7431896493775858,0.8287070703066051,0.6662133252569975
2023-12-07,0.1649323756979799,0.8353426481850393,0.6633156942675633
2023-12-08,0.7801024705102276,0.8050936848786664,0.6586543124602151
2023-12-11,0.2098668662753746,0.8192605322658146,0.6574233160097235
2023-12-12,0.0160152416128724,0.7914150515764772,0.6498530636782052
2023-12-13,0.1531057758321442,0.7633840765198427,0.6426769351905743
2023-12-14,0.0824643315097979,0.7401982050190566,0.639705717011258
2023-12-15,0.004721964053434,0.7183743594592934,0.6345605862373392
2023-12-18,0.6040896244381847,0.6988438651878011,0.6281147848756298
2023-12-19,0.5621184724288284,0.711585972685316,0.6759789129271959
2023-12-20,0.0678628254225011,0.7183422870376714,0.6687809572263966
2023-12-21,0.2730714844525453,0.6985888205401999,0.6595181866288581
2023-12-22,0.1123554682210487,0.6872123973708706,0.6604320729120964
2023-12-27,0.2146039854072149,0.6716196059696121,0.6515288447111852
2023-12-28,0.2423155732024419,0.6608638111823051,0.6425951815403027
2023-12-29,0.2994624971626512,0.6526178875922631,0.6434260340637357
2024-01-02,0.1057173213820018,0.6479846269214851,0.6366788142016829
2024-01-03,1.3868991583284898,0.6369076658465059,0.6293402113281107
2024-01-04,0.4759280290394104,0.7831327730354269,0.8572208349656323
2024-01-05,0.1389767322435139,0.7725463699168242,0.8301929578258174
2024-01-08,0.7340607192363031,0.7468406299393295,0.8028389583566712
2024-01-09,0.168307006473176,0.7641882325290059,0.7834109262122616
2024-01-10,0.0086953351805129,0.7408142490783998,0.7645051538850413
2024-01-11,0.859179928062285,0.7183828519833568,0.7453674327086072
2024-01-12,0.9475181747553496,0.7553734971600917,0.8106397114144571
2024-01-15,0.4941371965947412,0.797159123024369,0.7931620948192879
2024-01-16,0.3045201322342683,0.7859019284184803,0.7976527480481825
2024-01-17,0.8483441393796812,0.7651257826089931,0.7854129903918329
2024-01-18,0.8222113392252062,0.7920003273892199,0.8405173487638784
2024-01-19,0.0737791999955264,0.8117573387320706,0.8186790481183684
2024-01-22,0.7715702540190797,0.7811715383334558,0.7940215244890731
2024-01-23,0.3378494502023984,0.7968506730697434,0.7762485328516883
2024-01-24,1.568370612352123,0.7768391580180876,0.7692053496423032
2024-01-25,0.1006011302378808,0.9134193700993639,0.7640091250013346
2024-01-26,0.3216620446146262,0.874128188474174,0.7457229038600162
2024-01-29,0.1160937424798049,0.8450149133107774,0.7298079970157573
2024-01-30,0.1806266952600262,0.813069682274217,0.7162821335337937
2024-01-31,0.4048882404080683,0.785659852861606,0.7025469830803692
2024-02-01,0.264911268204156,0.7706845618113929,0.7098911569788672
2024-02-02,0.3503656190535221,0.7505520448316567,0.7050433318808332
2024-02-05,0.0836749918298895,0.7352788059718751,0.6921076683069827
2024-02-06,0.7612880719440723,0.7144960155165649,0.6815347277325194
2024-02-07,0.6554500720230801,0.7403237159273146,0.6758822638790151
2024-02-08,0.2471192831997178,0.7511587030874458,0.719429577647733
2024-02-09,0.2202993782380713,0.7331876509015348,0.7059871922765751
2024-02-12,0.6527528784014754,0.7162611246188879,0.6993056125863885
2024-02-13,0.9229306744622006,0.730547117621587,0.690517521699062
2024-02-14,0.3822496057037969,0.7739936228334334,0.7805724252107583
2024-02-15,0.5954858644379811,0.7595215189943519,0.7613771235991695
2024-02-16,0.4141776969236116,0.7621367341047092,0.745535075645945
2024-02-19,0.1472079125049205,0.7509522020812012,0.7299731822833506
2024-02-20,0.1395175704703923,0.7297842972511535,0.7172613105324446
2024-02-21,0.290696135291251,0.7106735177028347,0.705525590120448
2024-02-22,1.4632940280449829,0.6990908018472939,0.6931679830706877
2024-02-23,0.2810071953807722,0.839656671236529,0.6984998682706077
2024-02-26,0.0223886567466426,0.8124403256325057,0.6868562732711682
2024-02-27,0.7619295273403105,0.7828678163235493,0.6757530199538164
2024-02-28,0.2544562298983276,0.7978145396288805,0.670568470522014
2024-02-29,0.4363387697094966,0.7745234994612139,0.661655549600261
2024-03-01,0.3212407367573934,0.7628939771204856,0.6546473525667228
2024-03-04,0.1066275385050985,0.7463713202567954,0.6476973505416033
2024-03-05,0.1003515365818269,0.7247257205687668,0.6418743204697062
2024-03-06,0.1034052855964254,0.7054168702526308,0.6365361768477601
2024-03-07,0.7094530922551384,0.6882150040610552,0.6303064519546138
2024-03-08,0.1589565251828572,0.7121591797666877,0.628985114370549
2024-03-11,0.3837954031859242,0.6951108521331752,0.6267252657686164
2024-03-12,1.2256182194385463,0.6898432935585764,0.6414522732209949
2024-03-13,0.0207563589655537,0.7868034397934071,0.647846995588913
2024-03-14,0.1077434895516357,0.7597095017802135,0.6400639298291376
2024-03-15,0.0300382873379964,0.7362833353465696,0.6347381327651944
2024-03-18,0.0221398232560864,0.7146723439530086,0.6282161806619485
2024-03-19,0.3051800118650186,0.6954254477163004,0.6222168098650689
2024-03-20,0.1535478784097713,0.6855383940595465,0.6177534433944823
2024-03-21,0.9068825687253148,0.6712816888008067,0.6129277416555803
2024-03-22,0.146705064961775,0.7222259477931227,0.6161262254030447
